Task;Task1;;;
Task;Task2;;;
Task;Task3;;;
Task;Task4;;;
Task;Task5;;;
Task;Task6;;;
Task;Task7;;;
Activity;Activity1;Task2;2;
Activity;Task2;Activity2;1;
Activity;Task3;Activity3;1;
Activity;Task4;Activity4;x;
Activity;Task5;Activity5-a;1;
Activity;Task5;Activity5-b;1;
Activity;Task6;Activity6;1;
Activity;Task7;Activity7;0;
Mutex;m234;Activity2;Activity30;Activity4
Mutex;;;;
Mutex ;Activity2;Activity30;Activity4;
Semaphore;S51;1;Activity5-b;Activity1
Semaphore;S12;0;Activity1;Activity2
Semaphore;S13;0;Activity1;Activity3
Semaphore;S24;0;Activity2;Activity4
Semaphore;S36;0;Activity3;Activity6
Semaphore;S46;0;Activity4;Activity6
Semaphore;S65;0;Activity;Activity5-a
Semaphore;S5b-a;2;Activity5-b;Activity5-a
Semaphore;S5a-b;0;Activity5-a;Activity5-b
Semaphore;S7;a;Activity5-a;Activity7
Semaphore;S7;0;Activity6;Activity7
Semaphore;S8;-1;Activity5-a;Activity7
